file_id,type,number_affix,date,area,param,step,request_time
cf_2018-11-01_tem.grib,cf,#,2018-11-01/to/2018-11-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2018-11-01_nontem.grib,pf,,2018-11-01/to/2018-11-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2018-12-01_tem.grib,cf,#,2018-12-01/to/2018-12-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2018-12-01_nontem.grib,pf,,2018-12-01/to/2018-12-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2018-12-01_tem.grib,cf,#,2018-12-01/to/2018-12-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2018-12-01_nontem.grib,pf,,2018-12-01/to/2018-12-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2019-01-01_tem.grib,cf,#,2019-01-01/to/2019-01-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2019-01-01_nontem.grib,pf,,2019-01-01/to/2019-01-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2019-01-01_tem.grib,cf,#,2019-01-01/to/2019-01-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2019-01-01_nontem.grib,pf,,2019-01-01/to/2019-01-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2019-02-01_tem.grib,cf,#,2019-02-01/to/2019-02-28,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2019-02-01_nontem.grib,pf,,2019-02-01/to/2019-02-28,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2019-02-01_tem.grib,cf,#,2019-02-01/to/2019-02-28,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2019-02-01_nontem.grib,pf,,2019-02-01/to/2019-02-28,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2019-03-01_tem.grib,cf,#,2019-03-01/to/2019-03-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2019-03-01_nontem.grib,pf,,2019-03-01/to/2019-03-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2019-03-01_tem.grib,cf,#,2019-03-01/to/2019-03-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2019-03-01_nontem.grib,pf,,2019-03-01/to/2019-03-31,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2019-04-01_tem.grib,cf,#,2019-04-01/to/2019-04-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
pf_2019-04-01_nontem.grib,pf,,2019-04-01/to/2019-04-30,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
cf_2019-04-01_tem.grib,cf,#,2019-04-01/to/2019-04-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
pf_2019-04-01_nontem.grib,pf,,2019-04-01/to/2019-04-30,31.375/121/31.25/121.125,151/165/166/168/169/175/176/177/228,0/to/360/by/24,
cf_2019-05-01_tem.grib,cf,#,2019-05-01/to/2019-05-31,31.375/121/31.25/121.125,121/122,0/to/360/by/6,
